time,predicted,predictedlat,predicted1,predictedlat1,actual
1588123340861,67,68,33,34,23
1588123354107,67,68,36,37,92
1588123365805,67,68,36,37,24
1588123377911,67,69,46,48,20
1588123390096,66,68,33,35,20
1588123401350,66,68,41,43,30
1588123412840,66,67,34,35,18
1588123424949,66,67,37,38,22
1588123436708,66,67,40,41,33
1588123448424,66,69,25,28,16
1588123459700,66,69,25,28,15
1588123471239,66,69,40,43,18
1588123482312,66,67,34,35,21
1588123493433,66,67,33,34,17
1588123504610,66,67,19,20,19
1588123515510,66,67,20,21,19
1588123527209,66,67,22,23,41
1588123538686,68,69,18,19,26
1588123549947,68,69,19,20,20
1588123560998,68,69,21,22,16
1588123573049,68,69,21,22,29
1588123585163,179,180,18,19,11
1588123596856,179,180,17,18,12
1588123608045,179,180,18,19,13
1588123619844,179,180,20,21,13
1588123635626,200,201,21,22,3066
1588123661424,200,212,6387,6399,9561
1588123715735,1681,1682,21961,21962,4981
1588123734813,8121,8122,25921,25922,2336
1588123769929,8121,8124,16444,16447,4669
1588123809207,3623,3625,19724,19726,4397
1588123832033,3623,3660,18650,18687,750
1588123874093,1442,2195,16193,16946,912
1588123897013,1442,2195,31237,31990,1697
1588123943127,1303,3070,25896,27663,12
1588123958587,1303,3070,14970,16737,12
1588123974813,1303,1317,23359,23373,16
1588123998239,648,1245,17427,18024,707
1588124028186,648,651,13684,13687,88
1588124048138,648,651,13261,13264,173
1588124067469,648,662,18008,18022,217
1588124117444,1296,1545,17848,18097,149
1588124144298,1296,1593,9588,9885,186
1588124165661,1296,1354,14168,14226,112
1588124185463,1296,1354,5906,5964,125
1588124203725,1296,1301,9962,9967,30
1588124248932,251,263,14028,14040,126
1588124280374,251,675,13579,14003,25
1588124300091,251,258,8121,8128,6
1588124317869,251,258,2727,2734,238
1588124340175,251,444,2692,2885,797
1588124362149,251,444,2466,2659,158
1588124488960,519,1347,1605,2433,1344
1588124516886,519,1347,960,1788,115
1588124548612,519,589,1069,1139,973
1588124582998,519,521,1200,1202,22
1588124629034,779,811,1620,1652,402
1588124661838,779,897,1426,1544,147
1588124692358,779,1128,1593,1942,10
1588124725654,779,980,1078,1279,82
1588124752052,779,926,1137,1284,2417
1588124776105,779,926,1274,1421,30
1588124801160,779,805,1213,1239,11
1588124823693,779,784,1266,1271,10
1588124844033,779,801,1626,1648,10
1588124865647,779,801,1222,1244,94
1588124889347,779,917,805,943,12
1588124926526,297,981,980,1664,199
1588124976148,297,1349,866,1918,3510
1588125053150,297,1018,1096,1817,1852
1588125086902,297,335,1302,1340,541
1588125125113,297,992,1313,2008,279
1588125149016,297,412,922,1037,34
1588125176008,297,429,1428,1560,30
1588125200677,297,429,1135,1267,414
1588125222911,297,370,1157,1230,271
1588125243184,297,314,1243,1260,55
1588125267891,297,314,976,993,2180
1588125306155,122,275,1176,1329,12
1588125346395,122,516,673,1067,391
1588125380686,122,531,670,1079,587
1588125420356,122,411,852,1141,12
1588125448114,122,231,783,892,32
1588125472732,122,271,1207,1356,88
1588125495398,122,271,694,843,78
1588125515785,122,129,379,386,29
1588125538944,122,124,110,112,11
1588125562979,122,124,330,332,31
1588125587623,122,139,1350,1367,132
1588125614976,122,267,591,736,299
1588125640315,122,267,814,959,127
1588125665251,122,135,713,726,203
1588125689872,122,129,695,702,12
1588125774670,38,4562,2147483647,2147488171,5530
1588125844777,38,1651,576,2189,465
1588125874742,38,242,681,885,40
1588125906722,38,88,631,681,24
1588125936681,38,164,476,602,213
1588125970029,38,192,486,640,300
1588126004875,38,279,569,810,367
1588126033125,38,279,626,867,94
1588126059272,38,53,558,573,714
1588126082559,38,90,509,561,486
1588126115728,38,41,893,896,90
1588126140986,38,48,344,354,41
