time,predicted,predictedlat,predicted1,predictedlat1,actual
1588514303327,8919,8920,10000,10001,50
1588514314436,8919,8920,10000,10001,55
1588514325080,8919,8920,10000,10001,40
1588514335309,8919,8920,10000,10001,40
1588514345688,8919,8920,10000,10001,63
1588514357168,8919,8920,10000,10001,57
1588514370174,8919,8922,10000,10003,101
1588514383661,8919,8922,10000,10003,397
1588514408012,8919,8924,1471,1476,3540
1588514426081,7915,7920,10398,10403,992
1588514437035,7915,7920,12667,12672,40
1588514461615,7915,7920,2147483647,2147483652,3490
1588514479031,7522,7524,9552,9554,79
1588514496601,7522,7524,12478,12480,46
1588514512942,7522,7529,12123,12130,55
1588514529537,5975,5982,6371,6378,101
1588514547383,5975,5977,10091,10093,45
1588514564718,5975,5976,10441,10442,79
1588514581322,5975,5976,5589,5590,65
1588514596934,5975,5979,5614,5618,47
1588514613123,5975,5979,10487,10491,144
1588514629045,5975,5979,10005,10009,64
1588514645142,5975,5979,8124,8128,188
1588514661978,5975,6022,8124,8171,233
1588514680220,5975,6022,6485,6532,67
1588514697857,5975,5977,12527,12529,190
1588514713331,5975,5977,12412,12414,37
1588514728666,90,93,3894,3897,30
1588514747339,90,93,6599,6602,43
1588514762731,90,91,6555,6556,34
1588514779526,90,91,6555,6556,29
1588514798545,90,91,7526,7527,21
1588514816158,90,91,6472,6473,18
1588514833407,147,149,4504,4506,48
1588514850432,147,149,3700,3702,36
1588514866174,147,156,3683,3692,56
1588514884225,147,156,1322,1331,27
1588514902504,147,151,1273,1277,37
1588514918777,147,151,1297,1301,101
1588514936970,147,149,1323,1325,27
1588514955343,147,149,1347,1349,37
1588514972079,147,150,1258,1261,30
1588514989735,147,150,1291,1294,30
1588515007086,147,155,115,123,22
1588515028276,147,155,112,120,23
1588515047329,80,84,199,203,29
1588515065720,80,84,223,227,24
1588515082282,80,82,225,227,36
1588515101501,80,82,203,205,77
1588515116911,80,81,111,112,27
1588515134224,80,81,125,126,71
1588515153281,80,81,183,184,175
1588515170088,80,89,146,155,100
1588515186827,80,89,163,172,298
1588515208022,80,82,135,137,33
1588515227428,80,82,169,171,29
1588515245108,80,81,155,156,64
1588515264717,43,44,131,132,116
1588515281405,43,44,131,132,60
1588515302506,43,44,149,150,35
1588515321675,43,44,139,140,42
1588515340814,43,44,149,150,251
1588515361672,43,44,101,102,18
1588515380397,43,44,140,141,42
1588515399386,43,45,143,145,43
1588515417307,43,45,83,85,43
1588515435464,43,56,110,123,66
1588515451307,43,56,113,126,21
1588515465635,43,47,114,118,24
1588515485962,43,47,114,118,26
1588515505301,43,44,105,106,52
1588515524658,43,44,147,148,69
1588515543929,34,37,144,147,22
1588515563831,34,35,141,142,63
1588515581951,34,35,100,101,41
1588515599305,34,38,111,115,41
1588515616782,34,38,126,130,40
1588515632908,34,36,116,118,20
1588515649343,34,36,114,116,21
1588515666478,34,35,119,120,29
1588515687261,34,35,132,133,28
1588515708656,34,35,138,139,31
1588515726521,34,35,131,132,38
1588515744928,34,35,141,142,26
1588515763733,34,37,107,110,29
1588515782042,34,37,98,101,22
1588515801909,34,35,95,96,24
1588515818132,34,35,110,111,16
1588515836098,34,37,128,131,21
1588515853165,34,37,131,134,34
1588515871236,34,35,144,145,58
1588515889808,34,35,110,111,44
1588515907305,34,35,132,133,20
1588515924541,34,35,111,112,39
1588515943141,34,37,126,129,116
