time,predicted,predictedlat,predicted1,predictedlat1,actual
1588514304395,86,87,10000,10001,25
1588514315477,86,87,10000,10001,13
1588514326116,86,87,10000,10001,21
1588514336339,86,87,10000,10001,16
1588514346733,86,87,10000,10001,27
1588514358281,86,87,10000,10001,63
1588514372791,86,89,10000,10003,37
1588514389963,86,89,10000,10003,595
1588514411656,376,381,10000,10005,57
1588514440095,376,381,6011,6016,25
1588514464349,104,109,10856,10861,7
1588514482811,104,106,10965,10967,82
1588514498988,104,106,15991,15993,15
1588514515088,61,68,7526,7533,60
1588514533129,61,63,5296,5298,28
1588514551275,61,63,9912,9914,12
1588514567130,140,141,9506,9507,74
1588514583254,140,141,7531,7532,32
1588514600392,140,144,9095,9099,9
1588514616019,57,61,7211,7215,7
1588514631668,57,61,5010,5014,7
1588514647432,57,61,10795,10799,26
1588514666250,57,104,5470,5517,16
1588514683477,57,104,12666,12713,6
1588514699694,57,59,12720,12722,19
1588514716300,33,35,12600,12602,14
1588514733017,33,36,6141,6144,8
1588514749621,33,36,6474,6477,9
1588514766642,33,34,6431,6432,7
1588514783295,33,34,6558,6559,11
1588514802312,33,34,6392,6393,23
1588514819152,28,29,6356,6357,14
1588514835283,28,30,4423,4425,14
1588514852191,28,30,3622,3624,8
1588514869886,28,37,3615,3624,8
1588514887405,28,37,1298,1307,6
1588514904393,28,32,1322,1326,16
1588514922283,28,32,1282,1286,38
1588514940211,28,30,1307,1309,8
1588514957311,28,30,1338,1340,7
1588514975878,28,31,1323,1326,17
1588514993338,28,31,1345,1348,10
1588515012069,28,36,129,137,114
1588515032556,56,64,153,161,6
1588515049485,56,60,107,111,66
1588515067606,56,60,114,118,15
1588515086095,56,58,153,155,24
1588515104512,56,57,146,147,6
1588515120110,56,57,105,106,27
1588515136452,56,57,104,105,39
1588515156802,56,57,102,103,11
1588515173880,56,65,102,111,11
1588515190721,56,65,102,111,13
1588515211267,56,58,103,105,8
1588515230594,56,58,103,105,17
1588515247302,30,31,147,148,11
1588515267636,30,31,101,102,16
