time,predicted,predictedlat,predicted1,predictedlat1,actual
1587493996627,93,177,2147483647,2147483731,100
1587494330684,108,216,999,1107,103
1587494727228,136,204,999,1067,117
1587494739504,136,204,999,1067,109
1587494759658,136,210,999,1073,86
1587494977562,125,1199,999,2073,101
1587494990589,125,199,999,1073,97
1587495001962,125,199,999,1073,114
1587495013936,125,199,999,1073,105
1587495027071,95,167,999,1071,108
1587495038894,95,167,999,1071,122
1587495051259,95,167,999,1071,87
1587495063179,95,163,999,1067,107
1587495217600,89,164,999,1074,95
1587495321085,89,1183,2147483647,2147484741,139
1587495370533,118,1191,2147483647,2147484720,103
1587495456047,118,204,2147483647,2147483733,119
1587495634551,100,4156,2147483647,2147487703,106
1587495779632,120,200,2147483647,2147483727,107
1587495817760,120,195,999,1074,109
1587495937848,355,1425,999,2069,99
1587495995905,355,1425,2147483647,2147484717,90
1587496144414,150,1228,2147483647,2147484725,95
1587496185601,93,1162,2147483647,2147484716,97
1587496197921,93,1162,2147483647,2147484716,180
1587496235183,93,169,2147483647,2147483723,93
1587496503767,65,173,2147483647,2147483755,98
1587496584682,96,4146,2147483647,2147487697,110
1587496597102,75,4125,999,5049,97
