time,predicted,predictedlat,predicted1,predictedlat1,actual
1587494001967,84,168,2147483647,2147483731,177
1587494732153,207,275,11,79,77
1587494743934,207,275,6,74,78
1587494765038,207,281,6,80,80
1587494982589,1104,2178,2147483647,2147484721,267
1587494994638,1104,1178,2147483647,2147483721,156
1587495006665,1104,1178,2147483647,2147483721,154
1587495018080,1104,1178,2147483647,2147483721,216
1587495044014,21,93,3,75,77
1587495067642,21,89,3,71,75
1587495376797,259,1332,2147483647,2147484720,209
1587495462888,76,162,2147483647,2147483733,182
1587495639804,101,4157,999,5055,74
1587495752938,540,3596,999,4055,88
1587496069758,562,644,3,85,78
1587496107194,562,639,3,80,80
1587496148401,103,1181,4,1082,78
1587496189523,103,1172,4,1073,78
1587496201969,540,1609,4,1073,78
1587496240653,540,616,4,80,74
1587496303192,1147,1227,4,84,80
1587496341036,1147,1335,4,192,76
1587496389512,248,1325,4,1081,77
1587496444399,142,1211,4,1073,74
1587496589730,1193,5243,4,4054,82
1587496601082,1193,5243,4,4054,76
