time,predicted,predictedlat,predicted1,predictedlat1,actual
1587493998851,367,451,2147483647,2147483731,198
1587494728498,594,662,999,1067,79
1587494740712,594,662,999,1067,87
1587494760877,594,668,999,1073,84
1587494850706,145,220,999,1074,82
1587494957577,594,1668,999,2073,101
1587494978794,594,1668,999,2073,113
1587494991767,594,668,999,1073,77
1587495003210,78,152,999,1073,83
1587495015274,78,152,999,1073,125
1587495028234,78,150,999,1071,82
1587495040167,78,150,999,1071,118
1587495053069,594,666,999,1071,326
1587495064449,594,662,999,1067,81
1587495153017,106,206,999,1099,82
1587495174746,106,206,999,1099,101
1587495196980,106,181,999,1074,78
1587495218872,101,176,999,1074,74
1587495373006,111,1184,7,1080,84
1587495459242,84,170,6,92,99
1587495554725,110,1214,6,1110,77
1587495637219,107,4163,7,4063,74
1587495750567,752,3808,6,3062,113
1587495781460,752,832,6,86,80
1587495939018,2550,3620,999,2069,85
1587495997194,2651,3721,999,2069,80
1587496044597,2804,2886,999,1081,75
1587496066016,2804,2886,999,1081,83
1587496104229,2586,2663,999,1076,73
1587496145595,2586,3664,999,2077,76
1587496186918,752,1821,999,2068,107
1587496199120,752,1821,999,2068,80
1587496236467,2407,2483,999,1075,78
1587496300442,2650,2730,999,1079,85
1587496338536,2650,2838,999,1187,74
1587496385718,2452,3529,999,2076,78
1587496441161,2319,3388,999,2068,72
1587496505057,752,860,999,1107,81
1587496585938,3,4053,999,5049,75
1587496598324,3,4053,999,5049,82
