time,predicted,predictedlat,predicted1,predictedlat1,actual
1587494000840,87,171,2147483647,2147483731,144
1587494730297,92,160,3,71,74
1587494743187,92,160,3,71,82
1587494763053,92,166,2147483647,2147483721,153
1587494981323,75,1149,3,1077,90
1587494993482,75,149,3,77,69
1587495005544,62,136,3,77,75
1587495016972,62,136,3,77,71
1587495030637,62,134,3,75,90
1587495041925,62,134,3,75,85
1587495066918,74,142,3,71,84
1587495155415,72,172,2147483647,2147483747,226
1587495176924,72,172,2147483647,2147483747,150
1587495199150,72,147,2147483647,2147483722,230
1587495221440,69,144,3,78,77
1587495374930,289,1362,3,1076,83
1587495461711,346,432,3,89,77
1587495556728,81,1185,3,1107,91
1587495639523,342,4398,2147483647,2147487703,178
1587495752607,329,3385,2147483647,2147486703,156
1587495941423,670,1740,2147483647,2147484717,162
1587496068488,23,105,2147483647,2147483729,164
1587496106498,65,142,2147483647,2147483724,158
1587496147711,65,1143,2147483647,2147484725,149
1587496188781,241,1310,2147483647,2147484716,156
1587496201168,241,1310,2147483647,2147484716,151
1587496239930,250,326,2147483647,2147483723,141
1587496302293,12,92,3,83,77
1587496340184,12,200,3,191,71
1587496388381,91,1168,3,1080,77
1587496442964,69,1138,4,1073,72
1587496588266,68,4118,2147483647,2147487697,157
1587496600319,68,4118,2147483647,2147487697,156
