time,predicted,predictedlat,predicted1,predictedlat1,actual
1588432975277,82,85,126,129,39
1588432988061,82,85,133,136,29
1588433000500,82,85,200,203,17
1588433013433,82,86,149,153,21
1588433025847,82,86,149,153,26
1588433038644,82,85,188,191,56
1588433052425,82,85,202,205,24
1588433065629,82,85,148,151,23
1588433079330,82,83,108,109,29
1588433093775,82,83,119,120,22
1588433106470,82,84,128,130,56
1588433120301,82,84,165,167,131
1588433134001,82,84,142,144,22
1588433148755,82,83,134,135,27
1588433164321,82,83,136,137,23
1588433178016,82,84,162,164,21
1588433194319,82,84,129,131,71
1588433208762,82,84,143,145,35
1588433222078,82,84,161,163,35
1588433235948,82,84,146,148,28
1588433250195,82,84,116,118,152
1588433265467,82,84,137,139,101
1588433279892,82,83,118,119,24
1588433293798,82,83,121,122,22
1588433308417,82,86,116,120,16
1588433322738,82,86,128,132,15
1588433337669,82,85,247,250,28
1588433352825,82,85,238,241,16
1588433366276,82,85,164,167,53
1588433380751,82,83,260,261,25
1588433393899,82,83,227,228,23
1588433407457,82,84,225,227,22
1588433421492,82,84,221,223,18
1588433436833,82,83,245,246,23
1588433450965,82,83,276,277,41
1588433464019,82,83,254,255,34
1588433477407,312,313,198,199,67
1588433493883,312,313,216,217,26
1588433508192,312,313,203,204,70
1588433522320,312,313,239,240,63
1588433536450,312,313,241,242,21
1588433550308,312,313,254,255,30
1588433565075,312,313,257,258,25
1588433579915,312,313,282,283,18
1588433594170,312,313,238,239,26
1588433609580,312,313,186,187,16
1588433623866,312,313,284,285,31
1588433638290,312,314,228,230,36
1588433652985,312,314,307,309,48
1588433669236,312,313,219,220,38
1588433684247,312,313,184,185,27
1588433698592,312,313,224,225,46
1588433714781,312,314,188,190,49
1588433728898,312,314,280,282,36
1588433743391,312,315,340,343,154
1588433759506,312,315,175,178,27
1588433775123,312,313,187,188,51
1588433790976,312,313,264,265,27
1588433805599,312,314,233,235,37
1588433819317,312,314,236,238,37
1588433833547,312,313,259,260,26
1588433849380,312,313,249,250,49
