time,predicted,predictedlat,predicted1,predictedlat1,actual
1588432980207,821,824,3338,3341,115
1588432992832,821,824,3359,3362,12
1588433005464,821,825,2349,2353,11
1588433018006,821,825,2371,2375,14
1588433030873,821,825,2208,2212,18
1588433044218,821,824,2048,2051,157
1588433057880,821,824,3353,3356,17
1588433071482,821,822,1670,1671,258
1588433085583,821,822,2476,2477,147
1588433098553,821,822,3158,3159,17
1588433112104,821,823,3146,3148,67
1588433126403,821,823,3175,3177,63
1588433140967,821,822,1881,1882,723
1588433156412,821,822,1622,1623,8
1588433170440,821,823,1490,1492,24
1588433185660,821,823,1743,1745,14
1588433200834,821,823,2495,2497,33
1588433214223,821,823,2527,2529,57
1588433228360,821,823,2817,2819,35
1588433242064,821,823,2826,2828,24
1588433257272,821,823,3585,3587,35
1588433272199,821,822,1391,1392,110
1588433285642,821,822,1382,1383,70
1588433299917,821,825,2261,2265,26
1588433314378,821,825,1839,1843,39
1588433327976,821,825,1392,1396,11
1588433343113,821,824,1128,1131,12
1588433357885,821,824,1128,1131,28
1588433372227,821,822,1343,1344,17
1588433386000,821,822,1114,1115,10
1588433399374,821,823,1114,1116,58
1588433413473,821,823,1100,1102,9
1588433428201,821,823,1100,1102,96
1588433442183,821,822,1546,1547,11
1588433455596,821,822,1134,1135,38
1588433469054,821,822,712,713,22
1588433484588,584,585,999,1000,191
1588433499848,584,585,1239,1240,11
1588433514133,584,585,998,999,22
1588433527876,584,585,544,545,8
1588433542068,584,585,480,481,10
1588433556721,584,585,964,965,28
1588433571498,584,585,472,473,24
1588433586138,584,585,1616,1617,15
1588433601461,584,585,468,469,26
1588433615758,584,585,1155,1156,33
1588433629748,584,585,526,527,20
1588433644145,584,586,850,852,37
1588433659377,584,586,866,868,35
1588433675771,584,585,954,955,129
1588433690422,584,585,527,528,293
1588433706669,584,586,652,654,18
1588433720688,584,586,699,701,22
1588433734123,584,587,804,807,24
1588433751678,584,587,589,592,42
1588433766712,584,585,1075,1076,27
1588433782510,584,585,1061,1062,17
1588433797568,584,586,1076,1078,41
1588433811062,584,586,1085,1087,147
1588433825396,584,586,921,923,68
1588433841329,584,585,965,966,308
1588433856723,584,585,1067,1068,22
1588433872794,584,586,1174,1176,35
1588433890132,584,586,1492,1494,33
1588433905664,584,585,1238,1239,10
1588433922057,584,585,1337,1338,37
1588433936224,584,585,1367,1368,12
1588433951275,584,585,1150,1151,120
1588433968222,584,585,1676,1677,97
1588433983970,584,585,1123,1124,60
1588434000016,584,586,1083,1085,22
1588434014791,584,586,1264,1266,27
1588434029628,584,585,1294,1295,20
1588434043797,584,585,1441,1442,8
1588434056922,1168,1170,1407,1409,19
1588434073388,1168,1170,1060,1062,9
1588434087314,1168,1169,869,870,63
1588434101598,1168,1169,738,739,27
1588434115442,1168,1169,712,713,36
1588434129376,1168,1170,737,739,7
1588434143105,1168,1170,737,739,109
1588434157101,1168,1169,820,821,137
1588434172240,1168,1169,731,732,83
1588434186372,1168,1171,739,742,30
1588434200404,1168,1171,813,816,181
1588434214070,1168,1171,1226,1229,9
1588434229606,1168,1169,776,777,14
1588434242731,1168,1169,596,597,9
1588434256643,1168,1169,587,588,13
1588434271567,1168,1169,620,621,9
1588434286769,1168,1263,846,941,32
1588434302195,1168,1263,886,981,60
1588434319264,1168,1170,1700,1702,61
1588434335518,1168,1170,845,847,87
1588434349708,1168,1169,2116,2117,40
1588434381300,1168,1169,1729,1730,110
1588434395664,1168,1169,1585,1586,107
1588434409980,1168,1169,2196,2197,25
1588434424531,1168,1169,3632,3633,60
1588434438413,1168,1169,2130,2131,17
1588434452511,1168,1169,2073,2074,23
1588434466142,1168,1169,2871,2872,45
1588434480202,1168,1169,2880,2881,148
1588434495742,1168,1169,2084,2085,108
1588434511893,1168,1170,1818,1820,58
1588434527694,1168,1170,1671,1673,21
1588434542546,1168,1169,1435,1436,50
1588434557411,1168,1169,1441,1442,52
1588434572806,1168,1169,1448,1449,7
1588434587056,1168,1169,1501,1502,100
1588434601131,1168,1169,3903,3904,12
1588434615724,1168,1170,1740,1742,78
1588434629644,1168,1170,1725,1727,22
1588434643556,1168,1170,1130,1132,17
1588434656973,1168,1170,2124,2126,14
1588434672454,1168,1172,1251,1255,50
1588434687273,147,151,1160,1164,10
1588434703058,147,148,2301,2302,35
1588434718559,147,148,2411,2412,25
1588434732087,147,148,1776,1777,67
1588434756720,147,148,2302,2303,67
1588434769689,147,148,954,955,38
1588434782975,147,150,1633,1636,35
1588434795719,147,150,956,959,33
1588434809315,147,150,1674,1677,8
1588434823500,147,150,1758,1761,9
1588434837316,147,150,1086,1089,13
1588434850784,147,150,1648,1651,9
1588434864583,147,150,481,484,118
1588434878700,147,149,618,620,252
1588434893272,147,149,929,931,478
1588434909628,147,148,711,712,260
1588434925483,147,148,1628,1629,65
1588434942700,147,152,1341,1346,18
1588434960409,147,152,1632,1637,17
1588434976772,147,148,1780,1781,245
1588434995350,147,148,1439,1440,208
1588435010886,147,148,1075,1076,77
1588435027790,147,148,1225,1226,14
1588435043886,147,148,1593,1594,41
1588435062579,147,148,1488,1489,436
1588435082739,147,148,1579,1580,2603
1588435099613,147,148,5530,5531,48
1588435118343,147,148,4399,4400,208
1588435138069,147,148,2756,2757,36
1588435154815,147,151,8929,8933,9
1588435171135,147,151,5000,5004,39
1588435186366,147,148,4962,4963,143
1588435200568,147,148,4918,4919,35
1588435214628,147,147,6554,6554,33
1588435228600,147,147,4046,4046,116
1588435242733,147,149,3982,3984,86
1588435256074,147,149,4275,4277,16
1588435269204,147,149,6863,6865,51
1588435282219,147,148,5117,5118,34
1588435295446,147,148,5450,5451,104
1588435308205,147,149,5565,5567,14
1588435321380,147,149,4514,4516,12
1588435333743,147,149,4241,4243,15
1588435351223,58,59,5670,5671,84
1588435365863,58,59,5790,5791,16
1588435379393,58,61,5534,5537,104
1588435393468,58,61,5462,5465,40
1588435408101,58,59,5403,5404,44
1588435422340,58,59,6624,6625,152
1588435436162,58,59,6679,6680,72
1588435449957,58,59,3174,3175,226
1588435463592,58,59,6423,6424,10
1588435477814,58,59,6423,6424,95
1588435492584,58,59,6350,6351,89
1588435507186,58,62,6355,6359,106
1588435522814,58,62,6330,6334,357
1588435538150,58,59,6317,6318,193
1588435554957,58,59,2727,2728,112
1588435576010,58,63,3126,3131,946
1588435595770,58,63,2853,2858,1142
1588435612529,58,62,4002,4006,149
1588435632503,58,62,2086,2090,116
1588435655060,58,59,6626,6627,254
1588435675886,58,59,2337,2338,373
1588435693262,58,59,3505,3506,221
1588435710745,58,63,3586,3591,598
1588435726491,58,63,2907,2912,432
1588435743253,58,66,3003,3011,579
1588435759907,58,66,3265,3273,463
1588435775233,58,58,3245,3245,157
1588435789904,58,58,2510,2510,158
1588435805289,58,88,3111,3141,121
1588435820799,58,88,3138,3168,70
1588435836377,58,59,3143,3144,25
1588435850552,58,59,1756,1757,157
1588435864232,58,62,1632,1636,142
1588435878067,58,62,1563,1567,33
1588435892588,58,62,1525,1529,69
1588435906701,58,65,1699,1706,69
1588435919986,58,65,1785,1792,40
1588435933472,58,59,1999,2000,45
1588435947619,58,59,2042,2043,24
1588435962393,58,59,2487,2488,53
1588435977823,58,59,2012,2013,43
1588435994442,58,59,1834,1835,112
1588436014756,58,59,1801,1802,71
1588436037131,58,62,1032,1036,75
1588436068638,41,42,2147483647,2147483648,7
1588436093827,41,42,1261,1262,176
1588436114151,41,42,2028,2029,410
1588436129175,41,42,638,639,324
1588436146638,41,42,3453,3454,413
1588436163728,41,42,1608,1609,368
1588436179548,41,42,1537,1538,355
1588436199510,41,42,924,925,439
1588436214133,41,42,974,975,194
1588436231544,41,42,944,945,568
1588436250885,41,47,1111,1117,99
1588436267736,41,47,1344,1350,113
1588436286124,41,46,1493,1498,464
1588436301949,41,46,1438,1443,488
1588436318645,41,43,1524,1526,640
1588436337295,41,43,1302,1304,520
1588436354476,41,43,1581,1583,362
1588436372881,41,43,1456,1458,8
1588436388073,41,42,1468,1469,15
1588436404058,41,42,1654,1655,28
1588436420328,41,43,1645,1647,63
1588436437080,41,43,1864,1866,10
1588436452205,41,42,1639,1640,10
1588436468268,41,42,1248,1249,9
1588436483937,41,42,1329,1330,8
1588436498466,41,42,1546,1547,11
1588436512166,41,42,1382,1383,10
1588436525328,41,42,1434,1435,8
1588436538753,41,42,1618,1619,9
1588436552410,41,42,1665,1666,7
1588436566447,41,42,1104,1105,10
1588436579417,41,42,1243,1244,8
1588436592628,41,42,1218,1219,9
1588436605602,41,41,1068,1068,6
1588436619341,41,41,1717,1717,10
1588436632478,41,41,1268,1268,10
1588436645111,41,42,1588,1589,10
1588436657679,41,42,1804,1805,11
1588436670214,92,93,1489,1490,35
1588436682973,92,93,1707,1708,17
1588436695207,92,93,2090,2091,20
1588436707576,92,93,1304,1305,9
1588436719717,92,92,2016,2016,9
1588436732047,92,92,1467,1467,10
1588436744615,92,92,1962,1962,8
1588436757070,92,92,1160,1160,11
1588436769666,92,92,1391,1391,8
1588436782838,92,93,1903,1904,7
1588436795511,92,93,1506,1507,7
1588436808411,92,93,1283,1284,13
1588436821161,92,92,1564,1564,17
1588436833676,92,92,1565,1565,7
1588436845935,92,92,1576,1576,13
1588436858165,92,93,1822,1823,15
1588436870421,92,93,1586,1587,9
1588436881838,92,93,1567,1568,9
1588436893024,92,92,1444,1444,8
1588436904181,92,92,970,970,8
1588436915311,92,92,968,968,11
1588436924454,92,93,10000,10001,14
1588436933560,92,93,10000,10001,8
1588436942711,92,93,10000,10001,10
1588436951833,92,93,10000,10001,7
1588436961085,92,93,10000,10001,10
1588436970379,92,93,10000,10001,97
1588436979479,92,93,10000,10001,8
1588436988630,92,93,10000,10001,9
1588436997762,92,93,10000,10001,9
1588437006966,92,93,10000,10001,10
1588437016132,92,93,10000,10001,9
1588437025297,92,93,10000,10001,9
1588437034474,92,92,10000,10000,8
1588437043578,92,92,10000,10000,9
1588437052776,92,92,10000,10000,7
1588437061903,92,92,10000,10000,7
1588437071062,92,93,10000,10001,9
1588437080316,92,93,999,1000,13
1588437089417,92,93,999,1000,13
1588437098626,92,93,999,1000,8
1588437107753,92,93,999,1000,9
1588437116853,92,93,999,1000,8
1588437125995,92,93,999,1000,8
1588437135114,92,93,999,1000,11
1588437144370,92,92,999,999,7
