time,predicted,predictedlat,predicted1,predictedlat1,actual
1588432979329,806,809,963,966,9
1588432991756,806,809,672,675,17
1588433004353,806,809,870,873,15
1588433016896,806,810,577,581,6
1588433030034,806,810,667,671,38
1588433042930,806,809,1013,1016,130
1588433056435,806,809,753,756,218
1588433070156,806,807,837,838,241
1588433083863,806,807,1338,1339,252
1588433097642,806,807,1337,1338,514
1588433110978,806,808,1404,1406,350
1588433125250,806,808,1847,1849,517
1588433139268,806,807,1843,1844,407
1588433155165,806,807,1280,1281,496
1588433169349,806,807,3409,3410,506
1588433184033,806,808,3342,3344,580
1588433199531,806,808,3847,3849,516
1588433213236,806,808,3263,3265,364
1588433227531,806,808,2401,2403,537
1588433241191,806,808,2405,2407,378
1588433255945,806,808,3628,3630,556
1588433271434,806,807,3301,3302,596
1588433284850,806,807,2384,2385,412
1588433298831,806,810,2720,2724,563
1588433313638,806,810,3171,3175,450
1588433327033,806,810,2579,2583,10
1588433342235,806,809,2814,2817,152
1588433356950,806,809,3256,3259,116
1588433371039,806,807,3958,3959,121
1588433385256,806,807,3045,3046,214
1588433398638,806,808,2591,2593,174
1588433412351,806,808,2099,2101,68
1588433426671,806,808,1945,1947,94
1588433441226,806,807,2073,2074,43
1588433454623,806,807,2029,2030,198
1588433468194,806,807,2113,2114,330
1588433482303,2938,2939,1694,1695,232
1588433498736,2938,2939,1786,1787,188
1588433513373,2938,2939,2192,2193,54
1588433527052,2938,2939,1868,1869,287
1588433540863,2938,2939,1882,1883,118
1588433555134,2938,2939,1368,1369,140
1588433570234,2938,2939,2605,2606,255
1588433584538,2938,2939,2777,2778,144
1588433600325,2938,2939,1980,1981,262
1588433614752,2938,2939,1604,1605,37
1588433628653,2938,2939,1750,1751,47
1588433642853,2938,2940,1797,1799,31
1588433657958,2938,2940,1810,1812,348
1588433674037,2938,2939,2142,2143,443
1588433689140,2938,2939,1718,1719,552
1588433703937,2938,2940,1044,1046,558
1588433719667,2938,2940,2825,2827,669
1588433733156,2938,2941,1152,1155,525
1588433750732,2938,2941,1505,1508,374
1588433765245,2938,2939,3160,3161,528
1588433781599,2938,2939,4875,4876,411
1588433796261,2938,2940,1876,1878,446
1588433809855,2938,2940,1676,1678,418
1588433823765,2938,2940,1672,1674,433
1588433838949,2938,2939,2222,2223,608
1588433855603,2938,2939,2431,2432,562
1588433871491,2938,2940,2529,2531,614
1588433887983,2938,2940,3892,3894,584
1588433904526,2938,2939,3510,3511,583
1588433920746,2938,2939,3039,3040,422
1588433934942,2938,2939,4150,4151,188
1588433949861,2938,2939,3637,3638,40
1588433966338,2938,2939,3022,3023,291
1588433981134,2938,2939,2467,2468,134
1588433998206,2938,2940,2581,2583,175
1588434013333,2938,2940,3589,3591,143
1588434028361,2938,2939,2610,2611,127
1588434042758,2938,2939,3206,3207,156
1588434055838,2938,2940,2192,2194,150
1588434071949,2938,2940,2108,2110,169
1588434086269,2938,2939,2631,2632,192
1588434100676,57,58,2348,2349,95
1588434114286,57,58,3614,3615,75
1588434128272,57,59,2559,2561,418
1588434142167,57,59,2652,2654,209
1588434155952,57,58,3197,3198,131
1588434171343,57,58,2431,2432,161
1588434184949,57,58,3079,3080,214
1588434199392,57,60,1939,1942,186
1588434213153,57,60,2511,2514,11
1588434228592,57,58,4127,4128,85
1588434241653,57,58,1552,1553,4
1588434255088,57,58,4404,4405,41
1588434270058,57,58,2455,2456,146
1588434285318,57,152,3467,3562,149
1588434300807,57,152,2552,2647,474
1588434317774,57,59,3733,3735,451
1588434333832,57,59,3141,3143,512
1588434348345,57,58,3132,3133,393
1588434376677,57,58,2147483647,2147483648,415
1588434394586,57,58,1715,1716,495
1588434408632,57,58,1700,1701,590
1588434423336,57,58,1718,1719,557
1588434437245,57,58,1688,1689,467
1588434451254,57,58,3347,3348,351
1588434464852,57,58,3097,3098,456
1588434478964,57,58,2534,2535,504
1588434494601,57,58,3081,3082,782
1588434510936,57,59,1957,1959,472
1588434526076,57,59,2321,2323,595
1588434541457,57,58,1796,1797,483
1588434555933,57,58,3463,3464,342
1588434571330,57,58,3450,3451,140
1588434585765,57,58,2410,2411,17
1588434599955,57,58,2683,2684,105
1588434614678,57,59,3512,3514,49
1588434628269,57,59,3354,3356,53
1588434642661,57,59,3164,3166,71
1588434656085,57,59,2544,2546,22
1588434669770,57,59,3343,3345,80
1588434686062,57,61,3120,3124,21
1588434701633,57,61,3124,3128,66
1588434716948,65,66,1435,1436,92
1588434731045,65,66,2428,2429,175
1588434754977,65,66,1774,1775,65
1588434768867,65,66,2120,2121,34
1588434782068,65,68,2144,2147,60
1588434794886,65,68,1784,1787,134
1588434808366,65,68,2363,2366,134
1588434822136,65,68,1645,1648,166
1588434836294,65,68,2950,2953,150
