time,predicted,predictedlat,predicted1,predictedlat1,actual
1588426683038,227,229,10000,10002,95
1588426692482,227,229,10000,10002,70
1588426701775,227,229,10000,10002,92
1588426710986,227,229,10000,10002,77
1588426720298,227,228,10000,10001,56
1588426730180,227,228,10000,10001,71
1588426740428,227,228,10000,10001,76
1588426751572,227,228,10000,10001,68
1588426764332,227,228,10000,10001,74
1588426777095,211,213,10000,10002,67
1588426790501,211,213,10000,10002,139
1588426805571,211,213,10000,10002,63
1588426850987,204,207,10000,10003,43
1588426884900,204,205,212,213,72
1588426903078,204,205,140,141,48
1588426920825,204,205,209,210,50
1588426964438,198,199,179,180,69
1588426982764,198,199,124,125,99
1588427011069,198,199,142,143,36
1588427033156,189,190,149,150,97
1588427050957,189,192,156,159,33
1588427068945,189,192,191,194,67
1588427087677,180,181,125,126,32
1588427106163,180,181,152,153,27
1588427124987,180,186,132,138,35
1588427143669,401,407,129,135,28
1588427163771,401,403,154,156,32
1588427185580,401,403,146,148,23
1588427211234,562,564,131,133,2880
1588427235526,562,563,122,123,25
1588427259813,562,563,160,161,42
1588427282871,562,563,249,250,42
1588427308430,522,523,242,243,36
1588427327289,522,523,376,377,22
1588427346498,522,525,722,725,23
1588427366821,522,525,731,734,41
1588427389065,522,522,404,404,51
1588427412703,101,101,565,565,42
1588427436005,101,103,533,535,24
1588427469272,101,553,2147483647,2147484099,5847
1588427490213,101,553,487,939,45
1588427514631,101,103,2147483647,2147483649,21
1588427542279,43,45,482,484,26
1588427565958,43,45,486,488,94
1588427588435,43,45,458,460,135
1588427612786,43,46,2147483647,2147483650,27
1588427637581,43,46,1003,1006,53
1588427658430,43,45,987,989,21
1588427678175,43,45,1230,1232,41
1588427700079,43,45,5023,5025,221
1588427722492,43,45,5109,5111,114
1588427745763,43,45,5029,5031,25
1588427777945,83,85,4993,4995,239
1588427800076,83,84,4617,4618,29
1588427821672,83,103,4503,4523,485
1588427843477,83,103,3576,3596,36
1588427869509,83,133,3557,3607,148
1588427890499,83,84,3571,3572,34
1588427914897,83,84,3137,3138,490
1588427937082,83,191,9741,9849,47
1588427962234,83,84,5136,5137,27
1588427988179,83,84,5124,5125,94
1588428019336,83,108,5138,5163,44
1588428046095,165,166,4104,4105,53
1588428073511,165,168,4241,4244,455
1588428104485,165,175,4641,4651,707
1588428135537,165,170,5585,5590,109
1588428165503,165,166,3489,3490,202
1588428189345,165,166,3521,3522,143
1588428223498,165,185,2366,2386,282
1588428246254,165,186,2599,2620,743
1588428267946,165,166,1820,1821,15
1588428301067,165,166,1811,1812,14
1588428342019,165,185,1774,1794,136
1588428366328,165,185,1779,1799,30
1588428397290,478,480,1781,1783,32
1588428435502,478,479,3462,3463,585
1588428496095,478,519,2292,2333,301
1588428533362,478,535,6619,6676,14
1588428571776,478,496,4747,4765,2914
1588428606274,478,500,4926,4948,1699
1588428639476,478,479,3864,3865,123
1588428683958,2147483647,2147483655,2487,2495,281
1588428715307,2147483647,2147483662,3413,3428,51
1588428758403,478,519,2961,3002,157
1588428784548,478,519,3852,3893,64
