name,time,mean,service_name
average_duration_20s,1587916860000000000,4408500,istio-mixer
average_duration_20s,1587916900000000000,722182333.3333334,istio-ingressgateway
average_duration_20s,1587916920000000000,25365681.818181816,booking.default
average_duration_20s,1587916920000000000,762563438.4615384,istio-ingressgateway
average_duration_20s,1587916940000000000,102419578.94736843,booking.default
average_duration_20s,1587916940000000000,649241339.6226416,istio-ingressgateway
average_duration_20s,1587916940000000000,21573666.666666668,istio-mixer
average_duration_20s,1587916940000000000,577994232.5581396,flight.default
average_duration_20s,1587916940000000000,7977500,customer.default
average_duration_20s,1587916960000000000,784882177.5700935,istio-ingressgateway
average_duration_20s,1587916960000000000,7555444.444444444,customer.default
average_duration_20s,1587916960000000000,136176600,booking.default
average_duration_20s,1587916960000000000,10958666.666666666,auth.default
average_duration_20s,1587916960000000000,855727221.0526316,flight.default
average_duration_20s,1587916980000000000,22154000,auth.default
average_duration_20s,1587916980000000000,1081731470.5882354,flight.default
average_duration_20s,1587916980000000000,6989416.666666667,customer.default
average_duration_20s,1587916980000000000,227000,istio-mixer
average_duration_20s,1587916980000000000,806162707.9646018,istio-ingressgateway
average_duration_20s,1587916980000000000,59501652.17391305,booking.default
average_duration_20s,1587917000000000000,7071090.909090909,customer.default
average_duration_20s,1587917000000000000,69112888.8888889,booking.default
average_duration_20s,1587917000000000000,16645000,auth.default
average_duration_20s,1587917000000000000,1053992181.8181819,flight.default
average_duration_20s,1587917000000000000,819551378.6407768,istio-ingressgateway
average_duration_20s,1587917020000000000,1051543923.0769231,flight.default
average_duration_20s,1587917020000000000,740695712.7659575,istio-ingressgateway
average_duration_20s,1587917020000000000,10393214.285714285,booking.default
average_duration_20s,1587917020000000000,10099777.777777778,customer.default
average_duration_20s,1587917020000000000,17795333.333333332,auth.default
average_duration_20s,1587917040000000000,6902416.666666667,customer.default
average_duration_20s,1587917040000000000,28121500,auth.default
average_duration_20s,1587917040000000000,778237480.3149606,istio-ingressgateway
average_duration_20s,1587917040000000000,529500,istio-mixer
average_duration_20s,1587917040000000000,1071164428.5714285,flight.default
average_duration_20s,1587917040000000000,14333428.57142857,booking.default
average_duration_20s,1587917060000000000,761352415.0943396,istio-ingressgateway
average_duration_20s,1587917060000000000,68906470.58823529,booking.default
average_duration_20s,1587917060000000000,10526076.923076924,customer.default
average_duration_20s,1587917060000000000,22107000,auth.default
