name,time,mean,service_name
max_duration_60s,1587916860000000000,722182333.3333334,istio-ingressgateway
max_duration_60s,1587916860000000000,4408500,istio-mixer
max_duration_60s,1587916920000000000,739673344.5378151,istio-ingressgateway
max_duration_60s,1587916920000000000,21573666.666666668,istio-mixer
max_duration_60s,1587916920000000000,10958666.666666666,auth.default
max_duration_60s,1587916920000000000,760561918.3673469,flight.default
max_duration_60s,1587916920000000000,85130189.65517241,booking.default
max_duration_60s,1587916920000000000,7002055.555555556,customer.default
max_duration_60s,1587916980000000000,49063596.491228074,booking.default
max_duration_60s,1587916980000000000,7924457.142857143,customer.default
max_duration_60s,1587916980000000000,18761800,auth.default
max_duration_60s,1587916980000000000,802101509.1463414,istio-ingressgateway
max_duration_60s,1587916980000000000,227000,istio-mixer
max_duration_60s,1587916980000000000,1065092510.2880658,flight.default
max_duration_60s,1587917040000000000,529500,istio-mixer
max_duration_60s,1587917040000000000,1058889218.6234818,flight.default
max_duration_60s,1587917040000000000,22200600,auth.default
max_duration_60s,1587917040000000000,47981192.98245614,booking.default
max_duration_60s,1587917040000000000,8097108.108108108,customer.default
max_duration_60s,1587917040000000000,771488873.1988473,istio-ingressgateway
max_duration_60s,1587917100000000000,7615062.5,customer.default
max_duration_60s,1587917100000000000,557595245.8333334,istio-ingressgateway
max_duration_60s,1587917100000000000,37635500,auth.default
max_duration_60s,1587917100000000000,401500,istio-mixer
max_duration_60s,1587917100000000000,822158493.5897436,flight.default
max_duration_60s,1587917100000000000,70017941.1764706,booking.default
max_duration_60s,1587917160000000000,151903000,flight.default
max_duration_60s,1587917160000000000,39823772.72727273,booking.default
max_duration_60s,1587917160000000000,22095407.407407407,auth.default
max_duration_60s,1587917160000000000,8878450,customer.default
max_duration_60s,1587917160000000000,134976520.11494252,istio-ingressgateway
max_duration_60s,1587917160000000000,964250,istio-mixer
max_duration_60s,1587917220000000000,123647758.71313673,istio-ingressgateway
max_duration_60s,1587917220000000000,20878812.5,auth.default
max_duration_60s,1587917220000000000,132554379.06137185,flight.default
max_duration_60s,1587917220000000000,25639049.38271605,booking.default
max_duration_60s,1587917220000000000,8635125,customer.default
max_duration_60s,1587917280000000000,19280875,booking.default
max_duration_60s,1587917280000000000,11447309.523809524,customer.default
max_duration_60s,1587917280000000000,20613666.666666668,auth.default
max_duration_60s,1587917280000000000,252000,istio-mixer
max_duration_60s,1587917280000000000,126342570.49180327,istio-ingressgateway
max_duration_60s,1587917280000000000,75181161.29032259,flight.default
max_duration_60s,1587917340000000000,122213470.77922077,istio-ingressgateway
max_duration_60s,1587917340000000000,61373081.08108108,flight.default
max_duration_60s,1587917340000000000,19981842.10526316,auth.default
max_duration_60s,1587917340000000000,22826029.85074627,booking.default
max_duration_60s,1587917340000000000,7640483.870967742,customer.default
max_duration_60s,1587917340000000000,297000,istio-mixer
max_duration_60s,1587917400000000000,9826114.285714285,customer.default
max_duration_60s,1587917400000000000,3268500,istio-mixer
max_duration_60s,1587917400000000000,23314200,auth.default
max_duration_60s,1587917400000000000,116383383.21167883,istio-ingressgateway
