name,time,mean,service_name
average_duration_60s,1587996420000000000,80311000,auth.default
average_duration_60s,1587996420000000000,86766250,booking.default
average_duration_60s,1587996420000000000,2346278777.7777777,flight.default
average_duration_60s,1587996420000000000,1549340666.6666667,istio-ingressgateway
average_duration_60s,1587996420000000000,10926000,customer.default
average_duration_60s,1587996480000000000,2118748650,istio-ingressgateway
average_duration_60s,1587996480000000000,16376000,customer.default
average_duration_60s,1587996480000000000,1329063555.5555556,booking.default
average_duration_60s,1587996480000000000,36269000,auth.default
average_duration_60s,1587996480000000000,2999151473.6842103,flight.default
average_duration_60s,1587996540000000000,35931000,auth.default
average_duration_60s,1587996540000000000,2422992125,flight.default
average_duration_60s,1587996540000000000,13563500,customer.default
average_duration_60s,1587996540000000000,1593162560,istio-ingressgateway
average_duration_60s,1587996540000000000,736940130.4347826,booking.default
average_duration_60s,1587996600000000000,1808936491.5254238,istio-ingressgateway
average_duration_60s,1587996600000000000,833298242.4242424,booking.default
average_duration_60s,1587996600000000000,2971472934.7826085,flight.default
average_duration_60s,1587996600000000000,19479250,auth.default
average_duration_60s,1587996600000000000,7889500,customer.default
average_duration_60s,1587996660000000000,21983400,auth.default
average_duration_60s,1587996660000000000,7906545.454545454,customer.default
average_duration_60s,1587996660000000000,1239367545.4545455,booking.default
average_duration_60s,1587996660000000000,2262964920.6349206,istio-ingressgateway
average_duration_60s,1587996660000000000,3491226680.8510637,flight.default
average_duration_60s,1587996720000000000,2119117960,istio-ingressgateway
average_duration_60s,1587996720000000000,3718509869.5652175,flight.default
average_duration_60s,1587996720000000000,7199250,customer.default
average_duration_60s,1587996720000000000,21140166.666666668,auth.default
average_duration_60s,1587996720000000000,513385787.8787879,booking.default
average_duration_60s,1587996780000000000,14769111.111111112,auth.default
average_duration_60s,1587996780000000000,812712416.6666666,booking.default
average_duration_60s,1587996780000000000,3961247522.3880596,flight.default
average_duration_60s,1587996780000000000,195000,istio-mixer
average_duration_60s,1587996780000000000,2858982173.9130435,istio-ingressgateway
average_duration_60s,1587996780000000000,5719200,customer.default
average_duration_60s,1587996840000000000,4107227355.263158,flight.default
average_duration_60s,1587996840000000000,4431375,customer.default
average_duration_60s,1587996840000000000,10946666.666666666,auth.default
average_duration_60s,1587996840000000000,1418482594.5945945,booking.default
average_duration_60s,1587996840000000000,2959324376.470588,istio-ingressgateway
average_duration_60s,1587996900000000000,637162820,booking.default
average_duration_60s,1587996900000000000,2379779463.6363635,istio-ingressgateway
average_duration_60s,1587996900000000000,5364526.315789473,customer.default
average_duration_60s,1587996900000000000,4235775028.169014,flight.default
average_duration_60s,1587996900000000000,19024769.230769232,auth.default
average_duration_60s,1587996960000000000,4404022743.589744,flight.default
average_duration_60s,1587996960000000000,19386875,auth.default
average_duration_60s,1587996960000000000,2705242438.016529,istio-ingressgateway
average_duration_60s,1587996960000000000,866500,istio-mixer
average_duration_60s,1587996960000000000,661409814.8148148,booking.default
average_duration_60s,1587996960000000000,8407846.153846154,customer.default
average_duration_60s,1587997020000000000,2416954962.6865673,istio-ingressgateway
average_duration_60s,1587997020000000000,6854538.461538462,customer.default
average_duration_60s,1587997020000000000,4029007450.5494504,flight.default
average_duration_60s,1587997020000000000,16214250,auth.default
average_duration_60s,1587997020000000000,604267661.971831,booking.default
average_duration_60s,1587997080000000000,23678800,auth.default
average_duration_60s,1587997080000000000,660021863.0136986,booking.default
average_duration_60s,1587997080000000000,9604666.666666666,customer.default
average_duration_60s,1587997080000000000,174750,istio-mixer
average_duration_60s,1587997080000000000,2369280500,istio-ingressgateway
average_duration_60s,1587997080000000000,3440728055.11811,flight.default
average_duration_60s,1587997140000000000,6784392.857142857,customer.default
average_duration_60s,1587997140000000000,3627924954.1984735,flight.default
average_duration_60s,1587997140000000000,12943625,auth.default
average_duration_60s,1587997140000000000,816190466.6666666,booking.default
average_duration_60s,1587997140000000000,2216833106.951872,istio-ingressgateway
average_duration_60s,1587997200000000000,473752367.81609195,booking.default
average_duration_60s,1587997200000000000,2541656852.2727275,istio-ingressgateway
average_duration_60s,1587997200000000000,4359879046.296296,flight.default
average_duration_60s,1587997200000000000,495500,istio-mixer
average_duration_60s,1587997200000000000,7559344.827586207,customer.default
average_duration_60s,1587997200000000000,13875714.285714285,auth.default
average_duration_60s,1587997260000000000,4623301263.157895,flight.default
average_duration_60s,1587997260000000000,11364333.333333334,auth.default
average_duration_60s,1587997260000000000,1097352291.6666667,booking.default
average_duration_60s,1587997260000000000,3072799100,istio-ingressgateway
average_duration_60s,1587997260000000000,5780459.459459459,customer.default
average_duration_60s,1587997320000000000,2580158780.269058,istio-ingressgateway
average_duration_60s,1587997320000000000,9226133.333333334,customer.default
average_duration_60s,1587997320000000000,16013750,auth.default
