name,time,mean,service_name
average_duration_60s,1588086240000000000,194864125,auth.default
average_duration_60s,1588086240000000000,191000,istio-mixer
average_duration_60s,1588086240000000000,567469758.6206896,booking.default
average_duration_60s,1588086240000000000,527572078.94736844,flight.default
average_duration_60s,1588086240000000000,635267000,istio-ingressgateway
average_duration_60s,1588086240000000000,6909520,customer.default
average_duration_60s,1588086300000000000,336246330.88235295,istio-ingressgateway
average_duration_60s,1588086300000000000,10334157.142857144,customer.default
average_duration_60s,1588086300000000000,275094884.8167539,booking.default
average_duration_60s,1588086300000000000,19007500,auth.default
average_duration_60s,1588086300000000000,338500,istio-mixer
average_duration_60s,1588086300000000000,435592024.4897959,flight.default
average_duration_60s,1588086360000000000,150319603.30578512,booking.default
average_duration_60s,1588086360000000000,438622052.41935486,flight.default
average_duration_60s,1588086360000000000,268525830.3030303,istio-ingressgateway
average_duration_60s,1588086360000000000,12561619.047619049,customer.default
average_duration_60s,1588086360000000000,15008615.384615384,auth.default
average_duration_60s,1588086420000000000,12926168.83116883,customer.default
average_duration_60s,1588086420000000000,23118187.5,auth.default
average_duration_60s,1588086420000000000,300574652.96803653,flight.default
average_duration_60s,1588086420000000000,2427500,istio-mixer
average_duration_60s,1588086420000000000,126324200,booking.default
average_duration_60s,1588086420000000000,222123326.70454547,istio-ingressgateway
average_duration_60s,1588086480000000000,199788563.43283582,flight.default
average_duration_60s,1588086480000000000,195177401.00250626,istio-ingressgateway
average_duration_60s,1588086480000000000,14207636.363636363,customer.default
average_duration_60s,1588086480000000000,19169500,auth.default
average_duration_60s,1588086480000000000,79515095.94095941,booking.default
average_duration_60s,1588086540000000000,31282071.42857143,auth.default
average_duration_60s,1588086540000000000,44149923.32268371,booking.default
average_duration_60s,1588086540000000000,176431251.2820513,istio-ingressgateway
average_duration_60s,1588086540000000000,5511750,istio-mixer
average_duration_60s,1588086540000000000,107422810.42654029,flight.default
average_duration_60s,1588086540000000000,15762535.211267605,customer.default
average_duration_60s,1588086600000000000,183631841.8079096,istio-ingressgateway
average_duration_60s,1588086600000000000,12867055.555555556,customer.default
average_duration_60s,1588086600000000000,15715777.777777778,auth.default
average_duration_60s,1588086600000000000,37588173.91304348,booking.default
average_duration_60s,1588086600000000000,57883856.35359116,flight.default
average_duration_60s,1588086660000000000,32387259.541984733,booking.default
average_duration_60s,1588086660000000000,39591735.13513514,flight.default
average_duration_60s,1588086660000000000,14509750,customer.default
average_duration_60s,1588086660000000000,1232000,istio-mixer
average_duration_60s,1588086660000000000,170152129.74683544,istio-ingressgateway
average_duration_60s,1588086660000000000,23238076.923076924,auth.default
average_duration_60s,1588086720000000000,192097779.0368272,istio-ingressgateway
average_duration_60s,1588086720000000000,19061166.666666668,auth.default
average_duration_60s,1588086720000000000,11667846.153846154,customer.default
average_duration_60s,1588086720000000000,30902634.32835821,booking.default
average_duration_60s,1588086720000000000,29764900.584795322,flight.default
average_duration_60s,1588086720000000000,1967500,istio-mixer
average_duration_60s,1588086780000000000,21820463.157894738,flight.default
average_duration_60s,1588086780000000000,95500,istio-mixer
average_duration_60s,1588086780000000000,13700000,customer.default
average_duration_60s,1588086780000000000,194906103.65853658,istio-ingressgateway
average_duration_60s,1588086780000000000,15363333.333333334,auth.default
average_duration_60s,1588086780000000000,32384142.85714286,booking.default
average_duration_60s,1588086840000000000,121378555.55555555,auth.default
average_duration_60s,1588086840000000000,59559550.420168065,booking.default
average_duration_60s,1588086840000000000,13955090.909090908,customer.default
average_duration_60s,1588086840000000000,49090396.82539683,flight.default
average_duration_60s,1588086840000000000,2300625,istio-mixer
average_duration_60s,1588086840000000000,266517533.33333334,istio-ingressgateway
average_duration_60s,1588086900000000000,77981250,istio-mixer
average_duration_60s,1588086900000000000,261370996.75324675,istio-ingressgateway
average_duration_60s,1588086900000000000,13313590.909090908,customer.default
average_duration_60s,1588086900000000000,21384571.42857143,auth.default
average_duration_60s,1588086900000000000,32344920.318725098,booking.default
average_duration_60s,1588086900000000000,14846236.486486487,flight.default
average_duration_60s,1588086960000000000,32490828.1938326,booking.default
average_duration_60s,1588086960000000000,17204976.5625,flight.default
average_duration_60s,1588086960000000000,11252122.448979592,customer.default
average_duration_60s,1588086960000000000,147500,istio-mixer
average_duration_60s,1588086960000000000,260556975.08896798,istio-ingressgateway
average_duration_60s,1588086960000000000,17187166.666666668,auth.default
average_duration_60s,1588087020000000000,291102746.835443,istio-ingressgateway
average_duration_60s,1588087020000000000,19696090.90909091,auth.default
average_duration_60s,1588087020000000000,26099032.258064516,customer.default
average_duration_60s,1588087020000000000,32991069.105691057,booking.default
average_duration_60s,1588087020000000000,14384447.552447552,flight.default
average_duration_60s,1588087020000000000,81559000,istio-mixer
average_duration_60s,1588087080000000000,9425208.695652174,flight.default
average_duration_60s,1588087080000000000,1456100,istio-mixer
average_duration_60s,1588087080000000000,13157277.777777778,customer.default
average_duration_60s,1588087080000000000,276481531.598513,istio-ingressgateway
average_duration_60s,1588087080000000000,15445000,auth.default
average_duration_60s,1588087080000000000,27083142.85714286,booking.default
average_duration_60s,1588087140000000000,21392333.333333332,auth.default
average_duration_60s,1588087140000000000,36612790.12345679,booking.default
average_duration_60s,1588087140000000000,12784617.647058824,customer.default
average_duration_60s,1588087140000000000,11675060.869565217,flight.default
average_duration_60s,1588087140000000000,5095833.333333333,istio-mixer
average_duration_60s,1588087140000000000,285951560,istio-ingressgateway
average_duration_60s,1588087200000000000,1262000,istio-mixer
average_duration_60s,1588087200000000000,262275931.27147767,istio-ingressgateway
average_duration_60s,1588087200000000000,11495285.714285715,customer.default
average_duration_60s,1588087200000000000,11692666.666666666,auth.default
average_duration_60s,1588087200000000000,38596889.32806324,booking.default
average_duration_60s,1588087200000000000,9216209.090909092,flight.default
average_duration_60s,1588087260000000000,30512207.46887967,booking.default
average_duration_60s,1588087260000000000,8440094.488188976,flight.default
average_duration_60s,1588087260000000000,14775666.666666666,customer.default
average_duration_60s,1588087260000000000,291843067.3400673,istio-ingressgateway
average_duration_60s,1588087260000000000,11874166.666666666,auth.default
average_duration_60s,1588087320000000000,292910128.02768165,istio-ingressgateway
average_duration_60s,1588087320000000000,23146400,auth.default
average_duration_60s,1588087320000000000,9932815.12605042,flight.default
average_duration_60s,1588087320000000000,971500,istio-mixer
average_duration_60s,1588087320000000000,32521490.03984064,booking.default
average_duration_60s,1588087320000000000,11637021.276595745,customer.default
average_duration_60s,1588087380000000000,35928158.59030837,booking.default
average_duration_60s,1588087380000000000,12182775,customer.default
average_duration_60s,1588087380000000000,5670706.666666667,flight.default
average_duration_60s,1588087380000000000,303083429.13385826,istio-ingressgateway
average_duration_60s,1588087380000000000,19101750,auth.default
average_duration_60s,1588087380000000000,10588000,istio-mixer
average_duration_60s,1588087440000000000,69987000,auth.default
average_duration_60s,1588087440000000000,5327785.714285715,istio-mixer
average_duration_60s,1588087440000000000,52464601.941747576,flight.default
